site_year,weed_trt,model_mean,int_CLD,raw_mean,raw_CLD
CU_2023,No mowing,2489,b,2352.9,b
CU_2023,Early mowing,2650.1,a,2285.1,a
CU_2023,Late mowing,2493.6,b,2827.8,b
CU_2023,As-needed mowing,2557.9,ab,2724.8,ab
CU_2024,No mowing,2366.3,b,2343.2,b
CU_2024,Early mowing,2527.3,a,2607.4,a
CU_2024,Late mowing,2370.9,b,2176,b
CU_2024,As-needed mowing,2435.1,ab,2572.9,ab
CU_2025,No mowing,189.4,b,202.6,b
CU_2025,Early mowing,350.5,a,232.3,a
CU_2025,Late mowing,194,b,253.9,b
CU_2025,As-needed mowing,258.3,ab,240.5,ab
FH_2023,No mowing,2486.1,b,2466.9,b
FH_2023,Early mowing,2647.2,a,2577.1,a
FH_2023,Late mowing,2490.7,b,2614,b
FH_2023,As-needed mowing,2555,ab,2521,ab
FH_2024,No mowing,1514.6,b,1391.7,b
FH_2024,Early mowing,1675.7,a,1651.5,a
FH_2024,Late mowing,1519.2,b,1616.6,b
FH_2024,As-needed mowing,1583.5,ab,1633.2,ab
FH_2025,No mowing,132.5,b,225.7,b
FH_2025,Early mowing,293.6,a,164.9,a
FH_2025,Late mowing,137.1,b,190.9,b
FH_2025,As-needed mowing,201.4,ab,183.1,ab
ME_2023,No mowing,2161.2,b,1639.5,b
ME_2023,Early mowing,2322.2,a,2727.7,a
ME_2023,Late mowing,2165.8,b,2257.5,b
ME_2023,As-needed mowing,2230.1,ab,2254.6,ab
ME_2024,No mowing,2433,b,2355.8,b
ME_2024,Early mowing,2594.1,a,2442.7,a
ME_2024,Late mowing,2437.6,b,2716.8,b
ME_2024,As-needed mowing,2501.9,ab,2451.3,ab
ME_2025,No mowing,19.4,b,70.6,b
ME_2025,Early mowing,180.5,a,80,a
ME_2025,Late mowing,24,b,75.1,b
ME_2025,As-needed mowing,88.3,ab,86.6,ab
VT_2023,No mowing,2924.2,b,3140.8,b
VT_2023,Early mowing,3085.3,a,3884.9,a
VT_2023,Late mowing,2928.8,b,1946.8,b
VT_2023,As-needed mowing,2993.1,ab,2959.1,ab
VT_2024,No mowing,2413.9,b,2843.1,b
VT_2024,Early mowing,2575,a,2574.5,a
VT_2024,Late mowing,2418.5,b,2332.5,b
VT_2024,As-needed mowing,2482.8,ab,2140.2,ab
VT_2025,No mowing,768.5,b,664.6,b
VT_2025,Early mowing,929.6,a,1041.6,a
VT_2025,Late mowing,773.1,b,798.1,b
VT_2025,As-needed mowing,837.4,ab,804.2,ab
WI_2023,No mowing,896.3,b,1058.4,b
WI_2023,Early mowing,1057.3,a,746.7,a
WI_2023,Late mowing,900.9,b,1006.1,b
WI_2023,As-needed mowing,965.2,ab,1008.6,ab
WI_2024,No mowing,1895.9,b,2206.2,b
WI_2024,Early mowing,2057,a,1896.1,a
WI_2024,Late mowing,1900.5,b,1579.4,b
WI_2024,As-needed mowing,1964.8,ab,2136.5,ab
WI_2025,No mowing,3115.9,b,2844.6,b
WI_2025,Early mowing,3276.9,a,3308.6,a
WI_2025,Late mowing,3120.5,b,3483.7,b
WI_2025,As-needed mowing,3184.8,ab,3123.1,ab
