site_year,model_mean,SE,ci_low,ci_high,loc_CLD,raw_mean
CU_2023,218.4,40.7,151.6,314.8,de,266.7
CU_2024,40.8,10.8,24.3,68.7,h,49.5
CU_2025,951.3,131.2,726,1246.5,b,1029.1
FH_2023,43.2,11.6,25.6,73,h,52.7
FH_2024,254.9,46,179.1,363,d,303.2
FH_2025,1675.1,203.5,1320.1,2125.4,a,1633.8
ME_2025,202.1,38.2,139.5,292.8,de,236.1
VT_2023,73.7,17.3,46.5,116.7,gh,92.6
VT_2024,111.7,24.1,73.2,170.6,fg,153.4
VT_2025,433.1,69.9,315.8,594.2,c,496.2
WI_2023,144.1,29.8,96.1,216.1,ef,209.8
WI_2024,231.4,43.1,160.6,333.5,de,320.9
WI_2025,229.3,43,158.8,331,de,323.8
