site_year,model_mean,SE,ci_low,ci_high,loc_CLD,raw_mean
CU_2023,337.8,42.5,263.9,432.3,cd,374.9
CU_2024,343.9,55.8,250.2,472.6,cd,382.9
CU_2025,1236.2,67.1,1111.4,1374.9,b,1333.5
FH_2023,185.5,43.6,117.1,294,e,218.4
FH_2024,990.8,149.1,737.7,1330.8,b,1170
FH_2025,2473.8,184.6,2137.3,2863.4,a,2548.6
ME_2025,382.7,42.2,308.3,475,cd,393.1
VT_2023,260.4,55.3,171.8,394.8,cde,308.3
VT_2024,451.9,84.4,313.3,651.8,c,515.8
VT_2025,1066.7,108.8,873.4,1302.7,b,1189.5
WI_2023,403,99.9,247.9,655.1,cd,515.1
WI_2024,294.2,56.5,202,428.6,cde,362.8
WI_2025,257.5,56.3,167.8,395.1,de,329.8
