site_year,weed_trt,model_mean,int_CLD,raw_mean,raw_CLD
CU_2023,No mowing,793.6,a,747.1,a
CU_2023,Early mowing,719.2,a,885.3,a
CU_2023,Late mowing,452.8,b,443.8,b
CU_2023,As-needed mowing,490.9,b,490,b
CU_2024,No mowing,431.7,a,544.6,a
CU_2024,Early mowing,391.2,a,478.1,a
CU_2024,Late mowing,246.3,b,467.2,b
CU_2024,As-needed mowing,267,b,239.6,b
CU_2025,No mowing,3409.3,a,3244,a
CU_2025,Early mowing,3089.4,a,2581.6,a
CU_2025,Late mowing,1945.1,b,1838.2,b
CU_2025,As-needed mowing,2108.7,b,1813.9,b
FH_2023,No mowing,282.7,a,344,a
FH_2023,Early mowing,256.2,a,461.8,a
FH_2023,Late mowing,161.3,b,168.9,b
FH_2023,As-needed mowing,174.8,b,103.2,b
FH_2024,No mowing,1829.4,a,2595.7,a
FH_2024,Early mowing,1657.7,a,1909.3,a
FH_2024,Late mowing,1043.7,b,764.1,b
FH_2024,As-needed mowing,1131.5,b,623.6,b
FH_2025,No mowing,6959.9,a,4765.2,a
FH_2025,Early mowing,6307,a,4262.6,a
FH_2025,Late mowing,3970.9,b,3928,b
FH_2025,As-needed mowing,4304.9,b,3773.8,b
ME_2023,No mowing,1756.9,a,929.5,a
ME_2023,Early mowing,1592.1,a,1311.5,a
ME_2023,Late mowing,1002.4,b,868.8,b
ME_2023,As-needed mowing,1086.7,b,1179,b
ME_2024,No mowing,886.8,a,1113.2,a
ME_2024,Early mowing,803.6,a,1053.8,a
ME_2024,Late mowing,506,b,764.5,b
ME_2024,As-needed mowing,548.5,b,906.2,b
ME_2025,No mowing,902.3,a,622.5,a
ME_2025,Early mowing,817.7,a,807.5,a
ME_2025,Late mowing,514.8,b,457.2,b
ME_2025,As-needed mowing,558.1,b,629.8,b
VT_2023,No mowing,432.5,a,746.5,a
VT_2023,Early mowing,391.9,a,320.8,a
VT_2023,Late mowing,246.8,b,97.5,b
VT_2023,As-needed mowing,267.5,b,439,b
VT_2024,No mowing,598.7,a,745.2,a
VT_2024,Early mowing,542.5,a,860,a
VT_2024,Late mowing,341.6,b,437.5,b
VT_2024,As-needed mowing,370.3,b,634,b
VT_2025,No mowing,2130.2,a,1961.5,a
VT_2025,Early mowing,1930.4,a,1946,a
VT_2025,Late mowing,1215.4,b,1232.5,b
VT_2025,As-needed mowing,1317.6,b,1603,b
WI_2023,No mowing,510,a,1194.2,a
WI_2023,Early mowing,462.2,a,766.1,a
WI_2023,Late mowing,291,b,388.3,b
WI_2023,As-needed mowing,315.5,b,550.5,b
WI_2024,No mowing,539.2,a,908.7,a
WI_2024,Early mowing,488.6,a,998.4,a
WI_2024,Late mowing,307.6,b,451.3,b
WI_2024,As-needed mowing,333.5,b,376.7,b
WI_2025,No mowing,490.1,a,1217.8,a
WI_2025,Early mowing,444.2,a,357.3,a
WI_2025,Late mowing,279.6,b,546.5,b
WI_2025,As-needed mowing,303.2,b,492.7,b
