site_year,weed_trt,model_mean,int_CLD,raw_mean,raw_CLD
CU_2023,No mowing,455.3,a,623.9,a
CU_2023,Early mowing,351.5,ab,492.3,ab
CU_2023,Late mowing,236.2,b,55.2,b
CU_2023,As-needed mowing,341.7,ab,379.8,ab
CU_2024,No mowing,136.8,a,118.8,a
CU_2024,Early mowing,105.6,ab,118.8,ab
CU_2024,Late mowing,71,b,116.7,b
CU_2024,As-needed mowing,102.6,ab,106.1,ab
FH_2023,No mowing,222.6,a,171.9,a
FH_2023,Early mowing,171.9,ab,163.4,ab
FH_2023,Late mowing,115.5,b,142.2,b
FH_2023,As-needed mowing,167,ab,178.3,ab
FH_2024,No mowing,2657,a,3497.2,a
FH_2024,Early mowing,2051.5,ab,2724.7,ab
FH_2024,Late mowing,1378.6,b,1808,b
FH_2024,As-needed mowing,1994.1,ab,1525.8,ab
ME_2024,No mowing,1541,a,2376.7,a
ME_2024,Early mowing,1189.8,ab,774.6,ab
ME_2024,Late mowing,799.5,b,1103.5,b
ME_2024,As-needed mowing,1156.5,ab,583.6,ab
VT_2023,No mowing,4484.9,a,3927.9,a
VT_2023,Early mowing,3462.7,ab,4093.5,ab
VT_2023,Late mowing,2327,b,1846.2,b
VT_2023,As-needed mowing,3365.9,ab,4783.1,ab
VT_2024,No mowing,1064.4,a,587.8,a
VT_2024,Early mowing,821.8,ab,914.6,ab
VT_2024,Late mowing,552.2,b,696,b
VT_2024,As-needed mowing,798.8,ab,1137.4,ab
WI_2024,No mowing,68.5,a,82.2,a
WI_2024,Early mowing,52.9,ab,15.9,ab
WI_2024,Late mowing,35.5,b,53.1,b
WI_2024,As-needed mowing,51.4,ab,63.7,ab
